# character	reading	attested
蓱	píng	píng
蓲	qiū	fū|qiū|xū|ōu
蓳	jǐn	jǐn
蓴	chún	chún|tuán
蓵	jié	jié
蓶	wéi	wéi
蓷	tuī	tuī
蓸	cáo	cáo
蓹	yù	yù
蓺	yì	yì
蓻	zí	jí|jú|zí
蓼	liǎo	liǎo|liǔ|lù|lǎo
蓽	bì	bì
蓾	lǔ	lǔ
蓿	xu	sù|xu
蔀	bù	bù
蔁	zhāng	zhāng
蔂	léi	léi
蔃	qiáng	jiàng|qiáng
蔄	màn	màn
蔅	yán	yán
蔆	líng	líng
蔇	jì	jì|xì
蔈	piào	biào|biāo|piào|piǎo
蔉	gǔn	gǔn
蔊	hǎn	hàn|hǎn
蔋	dí	dí
蔌	sù	sù
蔍	lù	cū|lù
蔎	shè	shè
蔏	shāng	shāng
蔐	dí	dí
蔑	miè	miè
蔒	xūn	xūn
蔓	màn	màn|mán|wàn
蔔	bó	bo|bó
蔕	dì	chài|dài|dì
蔖	cuó	cuó|cǔ|zhā
蔗	zhè	zhe|zhè
蔘	shēn	shēn|sān|sǎn
蔙	xuàn	xuàn
蔚	wèi	wèi|yù
蔛	hú	hú
蔜	áo	áo
蔝	mǐ	mǐ
蔞	lóu	jù|liǔ|lóu|lǚ
蔟	cù	chuò|còu|cù
蔠	zhōng	zhōng
蔡	cài	cài|cā|sà
蔢	pó	bò|pó
蔣	jiǎng	jiāng|jiǎng
蔤	mì	mì
蔥	cōng	cōng
蔦	niǎo	niǎo
蔧	huì	huì
蔨	juàn	juàn|jùn
蔩	yín	yín
蔪	jiàn	jiàn|jiān|shān
蔫	niān	niān|yàn|yān
蔬	shū	shū|shǔ
蔭	yīn	yìn|yīn
蔮	guó	guó
蔯	chén	chén
蔰	hù	hù
蔱	shā	shā
蔲	kòu	kòu
蔳	qiàn	qiàn
蔴	má	má
蔵	zāng	cáng|zāng
蔶	zé	zé
蔷	qiáng	qiáng
蔸	dōu	dōu
蔹	liǎn	liǎn
蔺	lìn	lìn
蔻	kòu	kòu
蔼	ǎi	ǎi
蔽	bì	biē|bì|piē
蔾	lí	lí
蔿	wěi	wěi
蕀	jí	jí
蕁	qián	qián|tán|xún
蕂	shèng	shèng
蕃	bō	bō|fán|fān|pí
蕄	méng	méng
蕅	ǒu	ǒu
蕆	chǎn	chǎn
蕇	diǎn	diǎn
蕈	xùn	tán|xùn
蕉	jiāo	jiāo|qiáo|qiāo
蕊	ruǐ	juǎn|ruǐ
蕋	ruǐ	ruǐ
蕌	lěi	lěi
蕍	yú	yú
蕎	qiáo	jiāo|qiáo
蕏	chú	chú
蕐	huá	huá
蕑	jiān	jiān
蕒	mǎi	mǎi
蕓	yún	yún
蕔	bāo	bāo
蕕	yóu	yóu
蕖	qú	qú
蕗	lù	lù
蕘	ráo	ráo|yáo
蕙	huì	huì
蕚	è	è
蕛	tí	tí
蕜	fěi	fěi
蕝	jué	jué|zuì
蕞	zuì	jué|zhuó|zuì
蕟	fà	fà|fèi
蕠	rú	rú
蕡	fén	fèi|fén
蕢	kuì	kuài|kuì
蕣	shùn	shùn
蕤	ruí	ruí
蕥	yǎ	yǎ
蕦	xū	xū
蕧	fù	fù
蕨	jué	jué
蕩	dàng	dàng|tàng|tāng
蕪	wú	wú|wǔ
蕫	dǒng	dǒng
蕬	sī	sī
蕭	xiāo	xiāo
蕮	xì	xì
蕯	lóng	lóng
蕰	wēn	wēn|yùn
蕱	shāo	shāo
蕲	qí	qí
蕳	jiān	jiān
蕴	yùn	yùn
蕵	sūn	sūn
蕶	líng	líng
蕷	yù	yù
蕸	xiá	xiá
蕹	wèng	wèng|yōng
蕺	jí	jí|qiè
蕻	hóng	hòng|hóng
蕼	sì	sì
蕽	nóng	nóng
蕾	lěi	lěi
蕿	xuān	xuān
薀	yùn	yùn
薁	ào	yù|ào
薂	xí	xiào|xí
薃	hào	hào
薄	báo	báo|bò|bó|bù
薅	hāo	hāo
薆	ài	ài
薇	wēi	wēi
薈	huì	huì
薉	huì	huì
薊	jì	jì
薋	cí	cí|zī
薌	xiāng	xiāng|xiǎng
薍	wàn	luàn|wàn
薎	miè	miè
薏	yì	yì
薐	léng	léng
薑	jiāng	jiāng
薒	càn	càn
薓	shēn	shēn
薔	qiáng	qiáng|sè
薕	lián	lián
薖	kē	kē
薗	yuán	yuán
薘	dá	dá
薙	tì	tì|zhì
薚	tāng	tāng
薛	xuē	xuē
薜	bì	bài|bì|bò|bó|pì
薝	zhān	zhān
薞	sūn	sūn
薟	xiān	kàn|liǎn|xiān|yán
薠	fán	fán
薡	dǐng	dǐng
薢	xiè	xiè
薣	gǔ	gǔ
薤	xiè	xiè
薥	shǔ	shǔ|zhú
薦	jiàn	jiàn
薧	hāo	hāo|kǎo
薨	hōng	hōng
薩	sà	sà
薪	xīn	xīn
薫	xūn	xūn
薬	yào	yào
薭	bài	bài
薮	sǒu	sǒu
薯	shǔ	shǔ
薰	xūn	xūn
薱	duì	duì
薲	pín	pín
薳	wěi	wěi|yuǎn
薴	níng	níng
薵	chóu	chóu|dào|zhòu
薶	mái	mái|wō
薷	rú	rú
薸	piáo	piáo
薹	tái	tái
薺	jì	cí|jì|qì|qí
薻	zǎo	zǎo
薼	chén	chén
薽	zhēn	zhēn
薾	ěr	ěr
薿	nǐ	nǐ
藀	yíng	yíng
藁	gǎo	gǎo
藂	cóng	còng|cóng
藃	xiāo	hào|hè|xiāo
藄	qí	qí
藅	fá	fá
藆	jiǎn	jiǎn
藇	xù	xù|xū|yù|yú|yǔ
藈	kuí	kuí
藉	jí	jiè|jí
藊	biǎn	biǎn
藋	diào	diào|dí|zhuó
藌	mì	mì
藍	lán	la|lán
藎	jìn	jìn
藏	cáng	cáng|zàng|zāng
藐	miǎo	miǎo|mò
藑	qióng	qióng
藒	qiè	qiè
藓	xiǎn	xiǎn
藔	liáo	liáo
藕	ǒu	ǒu
藖	xián	qiān|xián
藗	sù	sù
藘	lǘ	lǘ
藙	yì	yì
藚	xù	xù
藛	xiě	xiě
藜	lí	lí
藝	yì	yì
藞	lǎ	lǎ
藟	lěi	lěi
藠	jiào	jiào
藡	dí	dí
藢	zhǐ	zhǐ
藣	bēi	bēi
藤	téng	téng
藥	yào	lüè|shuò|yào
藦	mó	mò|mó
藧	huàn	huàn
藨	biāo	biāo|pāo
藩	fān	fán|fān
藪	sǒu	còu|shǔ|sǒu
藫	tán	tán
藬	tuī	tuī
藭	qióng	qióng
藮	qiáo	qiáo
藯	wèi	wèi
藰	liú	liú|liǔ
藱	huì	huì|huí
藲	ōu	ōu
藳	gǎo	gǎo
藴	yùn	wēn|yùn
藵	bǎo	bǎo
藶	lì	lì
藷	shǔ	shǔ|zhū
藸	chú	chú|zhā|zhū
藹	ǎi	ǎi
藺	lìn	lìn
藻	zǎo	zǎo
藼	xuān	xuān
藽	qìn	qìn
藾	lài	lài
藿	huò	huò|hé
蘀	tuò	tuò|zé
蘁	wù	wù|è
蘂	ruǐ	ruǐ
蘃	ruǐ	ruǐ
蘄	qí	jī|qí|qín
蘅	héng	héng
蘆	lú	lu|lú|lǔ
蘇	sū	sū
蘈	tuí	tuí
蘉	méng	máng|méng
蘊	yùn	yùn
蘋	píng	pín|píng
蘌	yǔ	yǔ
蘍	xūn	xūn
蘎	jì	jì
蘏	jiōng	jiōng
蘐	xuān	xuān
蘑	mó	mó
蘒	qiū	qiū
蘓	sū	sū
蘔	jiōng	jiōng
蘕	péng	péng
蘖	niè	bò|niè
蘗	bò	bì|bò
蘘	ráng	nāng|ráng|xiāng
蘙	yì	yì
蘚	xiǎn	xiǎn
蘛	yú	yú
蘜	jú	jú
蘝	liǎn	liǎn
蘞	liǎn	liǎn|xiān
蘟	yǐn	yǐn
蘠	qiáng	qiáng
蘡	yīng	yīng
蘢	lóng	lòng|lóng|lǒng
蘣	tǒu	tǒu
蘤	huā	huā
蘥	yuè	yuè
蘦	líng	líng
蘧	qú	jù|qú
蘨	yáo	yáo
蘩	fán	fán
蘪	méi	méi
蘫	hàn	hàn|làn
蘬	kuī	guī|huǐ|kuī
蘭	lán	lán
蘮	jì	jì
蘯	dàng	dàng
蘰	màn	màn
蘱	lèi	lèi
蘲	léi	léi
蘳	huī	huī
蘴	fēng	fēng|sōng
蘵	zhī	zhī
蘶	wèi	wèi
蘷	kuí	kuí
蘸	zhàn	zhàn
蘹	huái	huái
蘺	lí	lí
蘻	jì	jì
蘼	mí	mí
蘽	lěi	lěi
蘾	huài	huài
蘿	luó	luó
虀	jī	jī
虁	kuí	kuí
虂	lù	lù
虃	jiān	jiān
虄	sà	sà
虅	téng	téng
虆	léi	léi
虇	quǎn	quǎn
虈	xiāo	xiāo
虉	yì	yì
虊	luán	luán
虋	mén	mén
虌	biē	biē
虍	hū	hū
虎	hǔ	hu|hù|hǔ
虏	lǔ	lǔ
虐	nüè	nüè
虑	lǜ	bì|lǜ
虒	sī	sī|tí|xī|zhì
虓	xiāo	xiāo
虔	qián	qián
處	chù	chu|chù|chǔ|jù
虖	hū	hù|hú|hū
虗	xū	xū
虘	cuó	cuó
虙	fú	fú
虚	xū	xū
虛	xū	xū
虜	lǔ	lǔ
虝	hǔ	hǔ
虞	yú	yú
號	hào	hao|hào|háo
虠	jiāo	háo|jiāo
虡	jù	jù
虢	guó	guó
虣	bào	bào
虤	yán	yán
虥	zhàn	zhàn
虦	zhàn	zhàn
虧	kuī	kuī
虨	bīn	bīn
虩	xì	sè|xì
虪	shù	shù
虫	chóng	chóng|huǐ
虬	qiú	qiú
虭	diāo	diāo|dāo
虮	jǐ	jī|jǐ
虯	qiú	qiú
虰	dīng	chēng|dīng
虱	shī	shī
虲	xiā	xiā
虳	jué	jué
虴	zhé	zhé
虵	shé	shé|yě
虶	yū	yū
虷	hán	gān|hán
虸	zǐ	zǐ
虹	hóng	gòng|hòng|hóng|jiàng
虺	huǐ	huī|huǐ
虻	méng	méng
虼	gè	gè
虽	suī	suī
虾	xiā	há|xiā
虿	chài	chài
蚀	shí	shí
蚁	yǐ	yǐ
蚂	mǎ	mà|mā|mǎ
蚃	xiǎng	xiǎng
蚄	fāng	bàng|fāng
蚅	è	è
蚆	bā	bā
蚇	chǐ	chǐ
蚈	qiān	qiān
蚉	wén	wén
蚊	wén	wén
蚋	ruì	ruì
蚌	bàng	bàng|bèng|fēng|pí
蚍	pí	pí
蚎	yuè	yuè
蚏	yuè	yuè
蚐	jūn	jūn
蚑	qí	qí
蚒	tóng	tóng
蚓	yǐn	yǐn
蚔	qí	qí|zhǐ
蚕	cán	cán|tiǎn
蚖	yuán	wán|yuán
蚗	jué	jué|quē
蚘	huí	huì|huí|yóu
蚙	qín	qián|qín
蚚	qí	qí
蚛	zhòng	zhòng
蚜	yá	yá
蚝	háo	cì|háo
蚞	mù	mù
蚟	wáng	wáng
蚠	fén	fén
蚡	fén	fén
蚢	háng	háng
蚣	gōng	gong|gōng|zhōng
蚤	zǎo	zhǎo|zǎo
蚥	fù	fù|fǔ
蚦	rán	rán
蚧	jiè	jiè
蚨	fú	fú
蚩	chī	chī
蚪	dǒu	dǒu
蚫	bào	bào|páo
蚬	xiǎn	xiǎn
蚭	ní	ní
蚮	dài	dài
蚯	qiū	qiū
蚰	yóu	yóu|zhú
蚱	zhà	zhà
蚲	píng	píng
蚳	chí	chí|chī|dì
蚴	yòu	niù|yòu|yǒu
蚵	hé	hé|kè
蚶	hān	hán|hān
蚷	jù	jù
蚸	lì	lì
蚹	fù	fù
蚺	rán	rán|tiàn
蚻	zhá	zhá
蚼	gǒu	gǒu|qú|xù
蚽	pí	pí
蚾	pí	bǒ|pí
蚿	xián	xián
蛀	zhù	zhù
蛁	diāo	diāo
蛂	bié	bié
蛃	bǐng	bǐng
蛄	gū	gū|gǔ
蛅	zhān	zhān
蛆	qū	jū|qū
蛇	shé	chí|shé|tuó|yí
蛈	tiě	tiě
蛉	líng	líng
蛊	gǔ	gǔ
蛋	dàn	dàn
蛌	gǔ	gǔ
蛍	yíng	yíng
蛎	lì	lì
蛏	chēng	chēng
蛐	qū	qū
蛑	móu	máo|móu
蛒	gé	gé|luò
蛓	cì	cì
蛔	huí	huí
蛕	huí	huí|huǐ
蛖	máng	bàng|máng
蛗	fù	fù
蛘	yáng	yáng|yǎng
蛙	wā	jué|wā
