# form	reading	naive	authority	note
相機而動	xiàng jī ér dòng	xiāng jī ér dòng	cc-cedict	to wait for the opportune moment before taking action (idiom)
相機而行	xiàng jī ér xíng	xiāng jī ér xíng	cc-cedict	to act according to the situation (idiom)
相機行事	xiàng jī xíng shì	xiāng jī xíng shì	cc-cedict	to act as circumstances dictate (idiom)
相體裁衣	xiàng tǐ cái yī	xiāng tǐ cái yī	cc-cedict	lit. tailor the clothes to fit the body (idiom); fig. act according to real circumstances
看家本事	kān jiā běn shi	kàn jiā běn shì	cc-cedict	see 看家本領|看家本领[kan1 jia1 ben3 ling3]
看家本領	kān jiā běn lǐng	kàn jiā běn lǐng	cc-cedict	(idiom) one's forte
看得過兒	kàn de guò r	kàn dé guò ér	cc-cedict	erhua variant of 看得過|看得过[kan4 de5 guo4]
看著不管	kàn zhe bù guǎn	kàn zhù bù guǎn	cc-cedict	to stand by and pay no heed/to ignore
真相大白	zhēn xiàng dà bái	zhēn xiāng dà bái	cc-cedict	the whole truth is revealed (idiom); everything becomes clear
真相畢露	zhēn xiàng bì lù	zhēn xiāng bì lù	cc-cedict	real face fully revealed (idiom); fig. to unmask and expose the whole truth
眼不轉睛	yǎn bù zhuàn jīng	yǎn bù zhuǎn jīng	cc-cedict	with fixed attention (idiom)
眼力見兒	yǎn lì jiàn r	yǎn lì jiàn ér	cc-cedict	erhua form of 眼力見|眼力见[yan3 li4 jian4]
眼見為實	yǎn jiàn wéi shí	yǎn jiàn wèi shí	cc-cedict	seeing is believing
眾口難調	zhòng kǒu nán tiáo	zhòng kǒu nán diào	cc-cedict	it's difficult to please everyone (idiom)
眾星攢月	zhòng xīng cuán yuè	zhòng xīng zǎn yuè	cc-cedict	see 眾星捧月|众星捧月[zhong4 xing1 peng3 yue4]
眾矢之的	zhòng shǐ zhī dì	zhòng shǐ zhī de	cc-cedict	lit. target of a multitude of arrows (idiom); the butt of public criticism/attacked on all sides
睡回籠覺	shuì huí lóng jiào	shuì huí lóng jué	cc-cedict	to go back to sleep (instead of rising up in the morning)/to sleep in
睡眠失調	shuì mián shī tiáo	shuì mián shī diào	cc-cedict	sleep disorder
瞭如指掌	liǎo rú zhǐ zhǎng	liào rú zhǐ zhǎng	cc-cedict	variant of 了如指掌[liao3 ru2 zhi3 zhang3]
瞭若指掌	liǎo ruò zhǐ zhǎng	liào ruò zhǐ zhǎng	cc-cedict	see 了如指掌[liao3 ru2 zhi3 zhang3]
矇頭轉向	mēng tóu zhuǎn xiàng	méng tóu zhuǎn xiàng	cc-cedict	to lose one's bearings/utterly confused
知識分子	zhī shi fèn zǐ	zhī shí fēn zǐ	cc-cedict	intellectual; intelligentsia
短中取長	duǎn zhōng qǔ cháng	duǎn zhōng qǔ zhǎng	cc-cedict	see 短中抽長|短中抽长[duan3 zhong1 chou1 chang2]
短中抽長	duǎn zhōng chōu cháng	duǎn zhōng chōu zhǎng	cc-cedict	to make the best of a bad job/to make the best use of limited resources (idiom)
石膏繃帶	shí gāo bēng dài	shí gāo běng dài	cc-cedict	plaster cast
破涕為笑	pò tì wéi xiào	pò tì wèi xiào	cc-cedict	to turn tears into laughter (idiom); to turn grief into happiness
破鏡重圓	pò jìng chóng yuán	pò jìng zhòng yuán	cc-cedict	(lit.) the two halves of the broken mirror are rejoined (idiom)/(fig.) long-separated lovers are reunited; a broken rela
硬著頭皮	yìng zhe tóu pí	yìng zhù tóu pí	cc-cedict	to brace oneself to do sth/to put a bold face on it/to summon up courage/to force oneself to
硯水壺兒	yàn shuǐ hú r	yàn shuǐ hú ér	cc-cedict	water container for an ink slab
碌碌無為	lù lù wú wéi	lù lù wú wèi	cc-cedict	unaccomplished/mediocre/feckless
碩果累累	shuò guǒ lěi lěi	shuò guǒ lèi lèi	cc-cedict	heavily laden with fruit/fertile (of trees)/many noteworthy achievements
磁吸效應	cí xī xiào yìng	cí xī xiào yīng	cc-cedict	"magnetic" force that attracts investment and talented individuals/in particular, the attraction China has for people an
神不守舍	shén bù shǒu shè	shén bù shǒu shě	cc-cedict	(idiom) absentminded; dazed; distracted
神出鬼沒	shén chū guǐ mò	shén chū guǐ méi	cc-cedict	(lit.) to appear and disappear unpredictably like a spirit or a ghost (idiom)/(fig.) elusive
神差鬼使	shén chāi guǐ shǐ	shén chà guǐ shǐ	cc-cedict	the work of gods and devils (idiom); unexplained event crying out for a supernatural explanation/curious coincidence
神魂顛倒	shén hún diān dǎo	shén hún diān dào	cc-cedict	lit. spirit and soul upside down (idiom); infatuated and head over heels in love/fascinated/captivated
福壽綿長	fú shòu mián cháng	fú shòu mián zhǎng	cc-cedict	good luck and long life
禮壞樂崩	lǐ huài yuè bēng	lǐ huài lè bēng	cc-cedict	see 禮崩樂壞|礼崩乐坏[li3 beng1 yue4 huai4]
禮崩樂壞	lǐ bēng yuè huài	lǐ bēng lè huài	cc-cedict	rites and music are in ruins (idiom); fig. society in total disarray/cf. 禮樂|礼乐[li3 yue4]
禮廢樂崩	lǐ fèi yuè bēng	lǐ fèi lè bēng	cc-cedict	see 禮崩樂壞|礼崩乐坏[li3 beng1 yue4 huai4]
禮樂崩壞	lǐ yuè bēng huài	lǐ lè bēng huài	cc-cedict	see 禮崩樂壞|礼崩乐坏[li3 beng1 yue4 huai4]
科教興國	kē jiào xīng guó	kē jiào xìng guó	cc-cedict	to invigorate the country through science and education
科迪勒拉	kē dí lè lā	kē dí lēi lā	cc-cedict	Cordillera, series of mountain ranges stretching from Patagonia in South America through to Alaska and Aleutian Islands
秘密基地	mì mì jī dì	mì mì jī de	cc-cedict	hideaway; private or insider-only place
移山倒海	yí shān dǎo hǎi	yí shān dào hǎi	cc-cedict	lit. to move mountains and drain seas/to transform nature
稀哩嘩啦	xī li huā lā	xī lī huā la	cc-cedict	variant of 稀里嘩啦|稀里哗啦[xi1 li5 hua1 la1]
稀里嘩啦	xī li huā lā	xī lǐ huā la	cc-cedict	(onom.) chaotic or dynamic noises (pattering, crashing, rustling, clattering, sobbing etc)/smashed to pieces; completely
稱心如意	chèn xīn rú yì	chēng xīn rú yì	cc-cedict	(idiom) after one's own heart; gratifying; satisfactory; everything one could wish
稻荷壽司	dào hè shòu sī	dào hé shòu sī	cc-cedict	inarizushi (pouch of fried tofu typically filled with rice)
積年累月	jī nián lěi yuè	jī nián lèi yuè	cc-cedict	year in, year out (idiom)/(over) many years
積德累功	jī dé lěi gōng	jī dé lèi gōng	cc-cedict	to accumulate merit and virtue
積極分子	jī jí fèn zǐ	jī jí fēn zǐ	cc-cedict	active supporter; political activist
積極反應	jī jí fǎn yìng	jī jí fǎn yīng	cc-cedict	active response/energetic response
積累毒性	jī lěi dú xìng	jī lèi dú xìng	cc-cedict	cumulative poison
積金累玉	jī jīn lěi yù	jī jīn lèi yù	cc-cedict	to accumulate gold and jewels (idiom); prosperous
空中少爺	kōng zhōng shào ye	kōng zhōng shǎo yé	cc-cedict	airline steward
空地導彈	kōng dì dǎo dàn	kōng de dǎo dàn	cc-cedict	air-to-surface missile
空氣炸鍋	kōng qì zhá guō	kōng qì zhà guō	cc-cedict	air fryer
空氣調節	kōng qì tiáo jié	kōng qì diào jié	cc-cedict	air conditioning
空白支票	kòng bái zhī piào	kōng bái zhī piào	cc-cedict	blank check
空軍基地	kōng jūn jī dì	kōng jūn jī de	cc-cedict	air base
穿著打扮	chuān zhuó dǎ bàn	chuān zhù dǎ bàn	cc-cedict	style of dress/one's appearance
穿著講究	chuān zhuó jiǎng jiu	chuān zhù jiǎng jiū	cc-cedict	smart clothes/particular about one's dress
窗明几淨	chuāng míng jī jìng	chuāng míng jǐ jìng	cc-cedict	lit. clear window and clean table (idiom)/fig. bright and clean
窩闊臺汗	wō kuò tái hán	wō kuò tái hàn	cc-cedict	Ögedei Khan (1186-1242), a son of Genghis Khan
窮困潦倒	qióng kùn liáo dǎo	qióng kùn liáo dào	cc-cedict	(idiom) to live in poverty and despair; down and out; destitute and without hope
窮家薄業	qióng jiā bó yè	qióng jiā báo yè	cc-cedict	lit. poor and with few means of subsistance (idiom)/fig. destitute
窮愁潦倒	qióng chóu liáo dǎo	qióng chóu liáo dào	cc-cedict	impoverished and dejected; wretched and penniless
窮於應付	qióng yú yìng fù	qióng yú yīng fù	cc-cedict	to struggle to cope (with a situation)/to be at one's wits' end
立地成佛	lì dì chéng fó	lì de chéng fú	cc-cedict	to become a Buddha on the spot (idiom); instant rehabilitation/to repent and be absolved of one's crimes
立方釐米	lì fāng lí mǐ	lì fāng xī mǐ	cc-cedict	cubic centimeter
立身處世	lì shēn chǔ shì	lì shēn chù shì	cc-cedict	(idiom) the way one conducts oneself in society
竭盡全力	jié jìn quán lì	jié jǐn quán lì	cc-cedict	(idiom) to spare no effort; to do one's utmost
笑口彌勒	xiào kǒu mí lè	xiào kǒu mí lēi	cc-cedict	laughing Maitreya
第比利斯	dì bì lì sī	dì bǐ lì sī	cc-cedict	T'bilisi, capital of Georgia 格魯吉亞|格鲁吉亚[Ge2 lu3 ji2 ya4]
等一下兒	děng yī xià r	děng yī xià ér	cc-cedict	erhua variant of 等一下[deng3 yi1 xia4]
等一會兒	děng yī huì r	děng yī huì ér	cc-cedict	erhua variant of 等一會|等一会[deng3 yi1 hui4]
等差數列	děng chā shù liè	děng chà shù liè	cc-cedict	(math.) arithmetic progression
等差級數	děng chā jí shù	děng chà jí shù	cc-cedict	arithmetic series (such as 2+4+6+8+...)
筋疲力盡	jīn pí lì jìn	jīn pí lì jǐn	cc-cedict	body weary, strength exhausted (idiom); extremely tired/spent
管弦樂團	guǎn xián yuè tuán	guǎn xián lè tuán	cc-cedict	orchestra
管弦樂隊	guǎn xián yuè duì	guǎn xián lè duì	cc-cedict	orchestra
築室道謀	zhù shì dào móu	zhú shì dào móu	cc-cedict	lit. ask passers-by how to build one's house (idiom); fig. to have no idea what to do/without a clue
篤信好學	dǔ xìn hào xué	dǔ xìn hǎo xué	cc-cedict	sincere belief and diligent study
簡單明瞭	jiǎn dān míng liǎo	jiǎn dān míng liào	cc-cedict	clear and simple/in simple terms
簽發地點	qiān fā dì diǎn	qiān fā de diǎn	cc-cedict	place of issue (of document)
籠鳥檻猿	lóng niǎo jiàn yuán	lóng niǎo kǎn yuán	cc-cedict-buddhist	bird in a basket, monkey in a cage (idiom); prisoner
米諾地爾	mǐ nuò dì ěr	mǐ nuò de ěr	cc-cedict	(pharmacology) minoxidil
粘皮帶骨	nián pí dài gǔ	zhān pí dài gǔ	cc-cedict	(old) (idiom) muddled; indecisive; plodding
粘皮著骨	nián pí zhuó gǔ	zhān pí zhù gǔ	cc-cedict	see 粘皮帶骨|粘皮带骨[nian2 pi2 dai4 gu3]
精疲力盡	jīng pí lì jìn	jīng pí lì jǐn	cc-cedict	spirit weary, strength exhausted (idiom); spent/drained/washed out
精盡人亡	jīng jìn rén wáng	jīng jǐn rén wáng	cc-cedict	to die from excessive ejaculation
精雕細琢	jīng diāo xì zhuó	jīng diāo xì zuó	cc-cedict	see 精雕細刻|精雕细刻[jing1 diao1 xi4 ke4]
系統角色	xì tǒng jué sè	xì tǒng jiǎo sè	cc-cedict	non-playable character (in a role-playing game)
紅寺堡區	hóng sì bǔ qū	hóng sì bǎo qū	cc-cedict	Hongsibu, a district of Wuzhong City 吳忠市|吴忠市[Wu2 zhong1 Shi4], Ningxia
紅顏薄命	hóng yán bó mìng	hóng yán báo mìng	cc-cedict	beautiful women suffer unhappy fates (idiom)
納什維爾	nà shí wéi ěr	nà shén wéi ěr	cc-cedict	Nashville, capital of Tennessee
納粹分子	nà cuì fèn zǐ	nà cuì fēn zǐ	cc-cedict	Nazi
紐幾內亞	niǔ jī nèi yà	niǔ jǐ nèi yà	cc-cedict	New Guinea/Papua-New Guinea
紙短情長	zhǐ duǎn qíng cháng	zhǐ duǎn qíng zhǎng	cc-cedict	(idiom) a piece of paper is too short to convey my feelings
紛至沓來	fēn zhì tà lái	fēn zhì dá lái	cc-cedict	to come thick and fast (idiom)
紫微斗數	zǐ wēi dǒu shù	zǐ wēi dòu shù	cc-cedict	Zi Wei Dou Shu, a form of Chinese fortune-telling
紫花地丁	zǐ huā dì dīng	zǐ huā de dīng	cc-cedict	Chinese violet (Viola mandsurica)
紮馬剌丁	zā mǎ lá dīng	zā mǎ là dīng	cc-cedict	Jamal al-Din ibn Muhammad al-Najjari (13th century), famous Persian astronomer and scholar who served Khubilai Khan 忽必烈 
累加總數	lěi jiā zǒng shù	lèi jiā zǒng shù	cc-cedict	cumulative total
累積劑量	lěi jī jì liàng	lèi jī jì liàng	cc-cedict	cumulative dose
細嚼慢嚥	xì jiáo màn yàn	xì jué màn yàn	cc-cedict	to eat slowly (idiom)
細水長流	xì shuǐ cháng liú	xì shuǐ zhǎng liú	cc-cedict	lit. thin streams flow forever/fig. economy will get you a long way/to work steadily at something little by little
細磨刀石	xì mò dāo shí	xì mó dāo shí	cc-cedict	whetstone (for honing knives)
終點地址	zhōng diǎn dì zhǐ	zhōng diǎn de zhǐ	cc-cedict	destination address
組成部分	zǔ chéng bù fèn	zǔ chéng bù fēn	cc-cedict	part/component/ingredient/constituent
結結巴巴	jiē jiē bā ba	jié jié bā bā	cc-cedict	stammeringly
絕對地址	jué duì dì zhǐ	jué duì de zhǐ	cc-cedict	absolute address (computing)
絞盡腦汁	jiǎo jìn nǎo zhī	jiǎo jǐn nǎo zhī	cc-cedict	to rack one's brains
絲毫不差	sī háo bù chā	sī háo bù chà	cc-cedict	accurate to perfection (idiom)/precise to the finest detail
綏芬河市	suí fēn hé shì	suī fēn hé shì	cc-cedict	Suifenhe, a county-level city in Mudanjiang City 牡丹江市[Mu3 dan1 jiang1 Shi4], Heilongjiang
綏靖主義	suí jìng zhǔ yì	suī jìng zhǔ yì	cc-cedict	appeasement
經年累月	jīng nián lěi yuè	jīng nián lèi yuè	cc-cedict	for years/over the years
綠嘴地鵑	lǜ zuǐ dì juān	lǜ zuǐ de juān	cc-cedict	(bird species of China) green-billed malkoha (Phaenicophaeus tristis)
網絡應用	wǎng luò yìng yòng	wǎng luò yīng yòng	cc-cedict	network application
網路應用	wǎng lù yìng yòng	wǎng lù yīng yòng	cc-cedict	(Tw) web application
網頁地址	wǎng yè dì zhǐ	wǎng yè de zhǐ	cc-cedict	webaddress/URL
緊急應變	jǐn jí yìng biàn	jǐn jí yīng biàn	cc-cedict	emergency management
縫縫連連	féng féng lián lián	fèng fèng lián lián	cc-cedict	needlework/sewing and mending
縫衣工人	féng yī gōng rén	fèng yī gōng rén	cc-cedict	needleworker
繁徵博引	fán zhēng bó yǐn	fán zhǐ bó yǐn	cc-cedict	an elaborate string of references/many quotations
織田信長	zhī tián xìn cháng	zhī tián xìn zhǎng	cc-cedict	ODA Nobunaga (1534-1582), Japanese shogun (warlord), played an important role in unifying Japan
繞彎子兒	rào wān zǐ r	rào wān zǐ ér	cc-cedict	lit. to go on a long detour/fig. to speak vaguely around the topic without getting to the point/to beat about the bush
缺心眼兒	quē xīn yǎn r	quē xīn yǎn ér	cc-cedict	erhua variant of 缺心眼[que1 xin1 yan3]
罪行累累	zuì xíng lěi lěi	zuì xíng lèi lèi	cc-cedict	having an extensive criminal record
羅切斯特	luó qiē sī tè	luó qiè sī tè	cc-cedict	Rochester
羅圈兒揖	luó quān r yī	luó quān ér yī	cc-cedict	to bow around with hands joined (to people on all sides)
美顏相機	měi yán xiàng jī	měi yán xiāng jī	cc-cedict	BeautyCam, a smartphone app for retouching selfies (abbr. to 美顏|美颜[Mei3 yan2])
義薄雲天	yì bó yún tiān	yì báo yún tiān	cc-cedict	supremely honorable and righteous
習以為常	xí yǐ wéi cháng	xí yǐ wèi cháng	cc-cedict	accustomed to/used to
翹居群首	qiáo jū qún shǒu	qiào jū qún shǒu	cc-cedict	head and shoulders above the crowd (idiom); preeminent/outstanding
翹足引領	qiáo zú yǐn lǐng	qiào zú yǐn lǐng	cc-cedict	waiting on tiptoes and craning one's neck (idiom)/to look forward eagerly/to long for/also pr. [qiao4 zu2 yin3 ling3]
翹足而待	qiáo zú ér dài	qiào zú ér dài	cc-cedict	to expect in a short time (idiom)/also pr. [qiao4 zu2 er2 dai4]
翹首以待	qiáo shǒu yǐ dài	qiào shǒu yǐ dài	cc-cedict	to hold one's breath (in anticipation) (idiom)/to anxiously await
翻天覆地	fān tiān fù dì	fān tiān fù de	cc-cedict	sky and the earth turning upside down (idiom); fig. complete confusion/everything turned on its head
翻斗卡車	fān dǒu kǎ chē	fān dòu kǎ chē	cc-cedict	dump truck
翻江倒海	fān jiāng dǎo hǎi	fān jiāng dào hǎi	cc-cedict	lit. overturning seas and rivers (idiom)/fig. overwhelming/earth-shattering/in a spectacular mess
翻箱倒櫃	fān xiāng dǎo guì	fān xiāng dào guì	cc-cedict	to overturn trunks and boxes/to make a thorough search (idiom)
翻箱倒篋	fān xiāng dǎo qiè	fān xiāng dào qiè	cc-cedict	to overturn trunks and boxes/to make a thorough search (idiom)
老兩口兒	lǎo liǎng kǒu r	lǎo liǎng kǒu ér	cc-cedict	an old married couple
老夫少妻	lǎo fū shào qī	lǎo fū shǎo qī	cc-cedict	(idiom) older husband and much younger wife
老少咸宜	lǎo shào xián yí	lǎo shǎo xián yí	cc-cedict	suitable for young and old
老少無欺	lǎo shào wú qī	lǎo shǎo wú qī	cc-cedict	cheating neither old nor young/treating youngsters and old folk equally scrupulously/Our house offers sincere treatment 
老少皆宜	lǎo shào jiē yí	lǎo shǎo jiē yí	cc-cedict	suitable for both the young and the old
老調重彈	lǎo diào chóng tán	lǎo diào zhòng dàn	cc-cedict	to play the same old tune (idiom); unoriginal
考波什堡	kǎo bō shí bǎo	kǎo bō shén bǎo	cc-cedict	Kaposvár in southwest Hungary, capital of Somogy County 紹莫吉州|绍莫吉州[Shao4 mo4 ji2 Zhou1]
考試卷子	kǎo shì juàn zi	kǎo shì juǎn zǐ	cc-cedict	see 考試卷|考试卷[kao3 shi4 juan4]
耳朵眼兒	ěr duo yǎn r	ěr duǒ yǎn ér	cc-cedict	earhole/ear piercing hole; earring hole
耳鼻咽喉	ěr bí yān hóu	ěr bí yàn hóu	cc-cedict	ear nose and throat/otolaryngology
耶利米書	yē lì mǐ shū	yé lì mǐ shū	cc-cedict	Book of Jeremiah
耶哥尼雅	yē gē ní yǎ	yé gē ní yǎ	cc-cedict	Jechoniah or Jeconiah (son of Josiah)
耶律大石	yē lǜ dà shí	yé lǜ dà shí	cc-cedict	Yollig Taxin or Yelü Dashi (1087-1143), Chinese-educated Khitan leader, founder of Western Liao 西遼|西辽 in Central Asia
耶律楚材	yē lǜ chǔ cái	yé lǜ chǔ cái	cc-cedict	Yelü Chucai (1190-1244), Khitan statesman and advisor to Genghis Khan and Ögödei Khan, known for convincing the Mongols 
耶穌基督	yē sū jī dū	yé sū jī dū	cc-cedict	Jesus Christ
耶穌會士	yē sū huì shì	yé sū huì shì	cc-cedict	a Jesuit/member of Society of Jesus
耶路撒冷	yē lù sā lěng	yé lù sā lěng	cc-cedict	Jerusalem
耶酥會士	yē sū huì shì	yé sū huì shì	cc-cedict	a Jesuit
耶魯大學	yē lǔ dà xué	yé lǔ dà xué	cc-cedict	Yale University
聊以塞責	liáo yǐ sè zé	liáo yǐ sāi zé	cc-cedict	in order to minimally fulfill one's responsibilities/in order to get off the hook
聖佛明節	shèng fó míng jié	shèng fú míng jié	cc-cedict	Fiesta de Saint Fermin, festival held annually in Pamplona, Spain
聖地亞哥	shèng dì yà gē	shèng de yà gē	cc-cedict	Santiago, capital of Chile/San Diego, California
聖地牙哥	shèng dì yá gē	shèng de yá gē	cc-cedict	(Tw) San Diego, California/Santiago, capital of Chile
聖經外傳	shèng jīng wài zhuàn	shèng jīng wài chuán	cc-cedict	Apocrypha/biography external to the classics
聖經賢傳	shèng jīng xián zhuàn	shèng jīng xián chuán	cc-cedict	lit. holy scripture and biography of sage (idiom); refers to Confucian canonical texts
聚變反應	jù biàn fǎn yìng	jù biàn fǎn yīng	cc-cedict	nuclear fusion
聯調聯試	lián tiáo lián shì	lián diào lián shì	cc-cedict	debugging and commissioning/testing (of a whole system)
聽牆根兒	tīng qiáng gēn r	tīng qiáng gēn ér	cc-cedict	erhua variant of 聽牆根|听墙根[ting1 qiang2 gen1]
肆意妄為	sì yì wàng wéi	sì yì wàng wèi	cc-cedict	see 恣意妄為|恣意妄为[zi4 yi4 wang4 wei2]
肉毒中毒	ròu dú zhòng dú	ròu dú zhōng dú	cc-cedict	botulism
肝腦塗地	gān nǎo tú dì	gān nǎo tú de	cc-cedict	to offer one's life in sacrifice
背景音樂	bèi jǐng yīn yuè	bèi jǐng yīn lè	cc-cedict	background music (BGM)/soundtrack/musical setting
胡作非為	hú zuò fēi wéi	hú zuò fēi wèi	cc-cedict	to run amok (idiom); to commit outrages
胳臂箍兒	gē bei gū r	gē bì gū ér	cc-cedict	armband
胳臂肘兒	gē bei zhǒu r	gē bì zhǒu ér	cc-cedict	elbow
脫不了身	tuō bù liǎo shēn	tuō bù le shēn	cc-cedict	busy and unable to get away
腳不沾地	jiǎo bù zhān dì	jiǎo bù zhān de	cc-cedict	feet not touching the ground (idiom)/to run like the wind
腳不點地	jiǎo bù diǎn dì	jiǎo bù diǎn de	cc-cedict	see 腳不沾地|脚不沾地[jiao3 bu4 zhan1 di4]
腳踏實地	jiǎo tà shí dì	jiǎo tà shí de	cc-cedict	to have one's feet firmly planted on the ground (idiom); realistic without flights of fancy/steady and serious character
腹笥便便	fù sì pián pián	fù sì biàn biàn	cc-cedict	a learned person (idiom)
膀胱氣化	páng guāng qì huà	bǎng guāng qì huà	cc-cedict	(TCM) the extraction of impure fluid by the kidneys and the passing of it from the body by the bladder as urine
膽大妄為	dǎn dà wàng wéi	dǎn dà wàng wèi	cc-cedict	daring/presumptuous/daredevil
臊眉耷眼	sào méi dā yǎn	sāo méi dā yǎn	cc-cedict	(dialect) ashamed
臨床特徵	lín chuáng tè zhēng	lín chuáng tè zhǐ	cc-cedict	clinical characteristic/diagnostic trait
自以為是	zì yǐ wéi shì	zì yǐ wèi shì	cc-cedict	to believe oneself infallible (idiom)/to be opinionated
自力更生	zì lì gēng shēng	zì lì gèng shēng	cc-cedict	regeneration through one's own effort (idiom)/self-reliance
自怨自艾	zì yuàn zì yì	zì yuàn zì ài	cc-cedict	to be full of remorse/to repent and redress one's errors
自由散漫	zì yóu sǎn màn	zì yóu sàn màn	cc-cedict	easygoing/lax/unconstrained/unruly
自給自足	zì jǐ zì zú	zì gěi zì zú	cc-cedict	self-sufficiency/autarky
自艾自憐	zì yì zì lián	zì ài zì lián	cc-cedict	(idiom) to feel sorry for oneself
自行了斷	zì xíng liǎo duàn	zì xíng le duàn	cc-cedict	to take one's life
與世長辭	yǔ shì cháng cí	yǔ shì zhǎng cí	cc-cedict	to die/to depart from the world forever
與人為善	yǔ rén wéi shàn	yǔ rén wèi shàn	cc-cedict	to be of service to others/to help others/benevolent
興利除弊	xīng lì chú bì	xìng lì chú bì	cc-cedict	to promote what is useful and get rid of what is harmful (idiom)
興奮高潮	xīng fèn gāo cháo	xìng fèn gāo cháo	cc-cedict	peak of excitement/orgasm
興妖作怪	xīng yāo zuò guài	xìng yāo zuò guài	cc-cedict	lit. to summon demons to create havoc (idiom)/fig. to stir up all kinds of trouble
興安運河	xīng ān yùn hé	xìng ān yùn hé	cc-cedict	another name for Lingqu 靈渠|灵渠[Ling2 qu2], canal in Xing'an county 興安|兴安[Xing1 an1], Guangxi
興師動眾	xīng shī dòng zhòng	xìng shī dòng zhòng	cc-cedict	to muster large forces/to get a great number of people involved (in carrying out some task)
興師問罪	xīng shī wèn zuì	xìng shī wèn zuì	cc-cedict	to send punitive forces against/(fig.) to criticize violently
興旺發達	xīng wàng fā dá	xìng wàng fā dá	cc-cedict	prosperous and developing/flourishing
興業銀行	xīng yè yín háng	xìng yè yín xíng	cc-cedict	Société Générale
興滅繼絕	xīng miè jì jué	xìng miè jì jué	cc-cedict	lit. to restore the state and revive old families (idiom)/fig. to restore sth that has been destroyed or forgotten
興都庫什	xīng dū kù shí	xìng dōu kù shén	cc-cedict	the Hindu Kush (mountain range)
興隆臺區	xīng lóng tái qū	xìng lóng tái qū	cc-cedict	Xinglongtai, a district of Panjin City 盤錦市|盘锦市[Pan2 jin3 Shi4], Liaoning
興風作浪	xīng fēng zuò làng	xìng fēng zuò làng	cc-cedict	to incite trouble/to stir up havoc
舊地重遊	jiù dì chóng yóu	jiù de zhòng yóu	cc-cedict	(idiom) to return to a place after a long time away
舊景重現	jiù jǐng chóng xiàn	jiù jǐng zhòng xiàn	cc-cedict	scenes of the past reappear; evocation of the past
舊調重彈	jiù diào chóng tán	jiù diào zhòng dàn	cc-cedict	replaying the same old tunes (idiom); conservative, unoriginal and discredited/to keep harping on about the same old stu
舌下含服	shé xià hán fù	shé xià hán fú	cc-cedict	sublingual administration (medicine)
舍利子塔	shè lì zi tǎ	shě lì zǐ tǎ	cc-cedict	see 舍利塔[she4 li4 ta3]
艾哈邁德	ài hǎ mài dé	ài hā mài dé	cc-cedict	Ahmed (name)
花不棱登	huā bu lēng dēng	huā bù léng dēng	cc-cedict	gaudy; having too many jumbled colors
花天酒地	huā tiān jiǔ dì	huā tiān jiǔ de	cc-cedict	to spend one's time in drinking and pleasure (idiom); to indulge in sensual pleasures/life of debauchery
花旗銀行	huā qí yín háng	huā qí yín xíng	cc-cedict	Citibank/abbr. to 花旗
花朝月夕	huā zhāo yuè xī	huā cháo yuè xī	cc-cedict	a beautiful day/cf Birthday of the Flowers on lunar 15th February and Mid-autumn Festival on lunar 15th August
花落誰家	huā luò shéi jiā	huā luò shuí jiā	cc-cedict	who will be the winner?
苦不唧兒	kǔ bu jī r	kǔ bù jī ér	cc-cedict	erhua variant of 苦不唧[ku3 bu5 ji1]
苦盡甘來	kǔ jìn gān lái	kǔ jǐn gān lái	cc-cedict	bitterness finishes, sweetness begins (idiom); the hard times are over, the good times just beginning
苦難深重	kǔ nàn shēn zhòng	kǔ nán shēn zhòng	cc-cedict	deep grief/extensive sorrow
英語教學	yīng yǔ jiāo xué	yīng yǔ jiào xué	cc-cedict	English Language Teaching (ELT)/studying and teaching English
茄子河區	qié zi hé qū	jiā zǐ hé qū	cc-cedict	Qiezihe, a district of Qitaihe City 七臺河市|七台河市[Qi1 tai2 he2 Shi4], Heilongjiang
茅塞頓開	máo sè dùn kāi	máo sāi dùn kāi	cc-cedict	murky darkness suddenly opens (idiom); a sudden flash of insight and all is clear
茶葉末兒	chá yè mò r	chá yè mò ér	cc-cedict	tea leaves powder
草字頭兒	cǎo zì tóu r	cǎo zì tóu ér	cc-cedict	grass radical 艹
草率收兵	cǎo shuài shōu bīng	cǎo lǜ shōu bīng	cc-cedict	to work vaguely then retreat (idiom); sloppy and half-hearted/half-baked
草草了事	cǎo cǎo liǎo shì	cǎo cǎo le shì	cc-cedict	to rush through the work/to get through a thing carelessly
荷槍實彈	hè qiāng shí dàn	hé qiāng shí dàn	cc-cedict	(idiom) armed/carrying a loaded firearm
莊稼戶兒	zhuāng jia hù r	zhuāng jià hù ér	cc-cedict	erhua variant of 莊稼戶|庄稼户[zhuang1 jia5 hu4]
莊稼活兒	zhuāng jia huó r	zhuāng jià huó ér	cc-cedict	farm work
莞爾一笑	wǎn ěr yī xiào	guǎn ěr yī xiào	cc-cedict	(literary) to smile
莫可指數	mò kě zhǐ shǔ	mò kě zhǐ shù	cc-cedict	countless/innumerable
華佗再世	huà tuó zài shì	huá tuó zài shì	cc-cedict	(lit.) a reincarnation of Hua Tuo, the legendary physician of the Eastern Han Dynasty (idiom)/(fig.) a highly skilled an
華夏銀行	huá xià yín háng	huá xià yín xíng	cc-cedict	Huaxia Bank
萎靡不振	wěi mǐ bù zhèn	wěi mí bù zhèn	cc-cedict	dispirited and listless (idiom); downcast
