# form	reading	naive	authority	note
紀傳體	jì zhuàn tǐ	jì chuán tǐ	cc-cedict	history genre based on biography, such as Sima Qian's Record of the Historian
約維克	yāo wéi kè	yuē wéi kè	cc-cedict	Gjøvik (city in Oppland, Norway)
紅地毯	hóng dì tǎn	hóng de tǎn	cc-cedict	red carpet
紅寺堡	hóng sì bǔ	hóng sì bǎo	cc-cedict	see 紅寺堡區|红寺堡区[Hong2 si4 bu3 Qu1]
紅殷殷	hóng yān yān	hóng yīn yīn	cc-cedict	dark red/crimson/also pr. [hong2 yin1 yin1]
紅箍兒	hóng gū r	hóng gū ér	cc-cedict	(northern dialects) red armband
紋絲兒	wén sī r	wén sī ér	cc-cedict	erhua variant of 紋絲|纹丝[wen2 si1]
紋縷兒	wén lǚ r	wén lǚ ér	cc-cedict	erhua variant of 紋縷|纹缕[wen2 lu:3]
納悶兒	nà mèn r	nà mèn ér	cc-cedict	erhua variant of 納悶|纳闷[na4 men4]
純音樂	chún yīn yuè	chún yīn lè	cc-cedict	instrumental music
紙煤兒	zhǐ méi r	zhǐ méi ér	cc-cedict	paper taper used to light cigarette etc
紙馬兒	zhǐ mǎ r	zhǐ mǎ ér	cc-cedict	erhua variant of 紙馬|纸马[zhi3 ma3]
紫坪鋪	zǐ píng pū	zǐ píng pù	cc-cedict	Zipingpu Dam, Sichuan
累加器	lěi jiā qì	lèi jiā qì	cc-cedict	accumulator (computing)
紹興市	shào xīng shì	shào xìng shì	cc-cedict	Shaoxing, prefecture-level city in Zhejiang Province 浙江省[Zhe4 jiang1 Sheng3]
紹興酒	shào xīng jiǔ	shào xìng jiǔ	cc-cedict	Shaoxing wine a.k.a. "yellow wine", traditional Chinese wine made from glutinous rice and wheat
絕門兒	jué mén r	jué mén ér	cc-cedict	extinct profession/lost trade/unique skill/astonishing/fantastic
給排水	jǐ pái shuǐ	gěi pái shuǐ	cc-cedict	water supply and drainage
給皂器	jǐ zào qì	gěi zào qì	cc-cedict	soap dispenser
統稱為	tǒng chēng wéi	tǒng chēng wèi	cc-cedict	collectively known as/to call sth as a group
綏中縣	suí zhōng xiàn	suī zhōng xiàn	cc-cedict	Suizhong, a county in Huludao City 葫蘆島市|葫芦岛市[Hu2 lu2 dao3 Shi4], Liaoning
綏化市	suí huà shì	suī huà shì	cc-cedict	Suihua, prefecture-level city in Heilongjiang Province 黑龍江省|黑龙江省[Hei1 long2 jiang1 Sheng3]
綏寧縣	suí níng xiàn	suī níng xiàn	cc-cedict	Suining, a county in Shaoyang City 邵陽市|邵阳市[Shao4 yang2 Shi4], Hunan
綏德縣	suí dé xiàn	suī dé xiàn	cc-cedict	Suide, a county in Yulin City 榆林市[Yu2 lin2 Shi4], Shaanxi
綏江縣	suí jiāng xiàn	suī jiāng xiàn	cc-cedict	Suijiang, a county in Zhaotong City 昭通市[Zhao1 tong1 Shi4], Yunnan
綏濱縣	suí bīn xiàn	suī bīn xiàn	cc-cedict	Suibin, a county in Hegang City 鶴崗市|鹤岗市[He4 gang3 Shi4], Heilongjiang
綏稜縣	suí líng xiàn	suī léng xiàn	cc-cedict	Suiling, a county in Suihua City 綏化市|绥化市[Sui2 hua4 Shi4], Heilongjiang
綏芬河	suí fēn hé	suī fēn hé	cc-cedict	Suifen River, a river in China and Russia that flows into the Sea of Japan
綏芬河	suí fēn hé	suī fēn hé	cc-cedict	see 綏芬河市|绥芬河市[Sui2 fen1 he2 Shi4]
綏遠省	suí yuǎn shěng	suī yuǎn shěng	cc-cedict	former Suiyuan province in Inner Mongolia and Shanxi
綏陽縣	suí yáng xiàn	suī yáng xiàn	cc-cedict	Suiyang, a county in Zunyi City 遵義市|遵义市[Zun1 yi4 Shi4], Guizhou
綜合徵	zōng hé zhēng	zōng hé zhǐ	cc-cedict	syndrome
綺想曲	qǐ xiǎng qǔ	qǐ xiǎng qū	cc-cedict	capriccio (music)
緊接著	jǐn jiē zhe	jǐn jiē zhù	cc-cedict	immediately afterwards/shortly after that
緊繃繃	jǐn bēng bēng	jǐn běng běng	cc-cedict	tight; stretched/(face, lips) taut; strained
縫紉機	féng rèn jī	fèng rèn jī	cc-cedict	sewing machine/CL:臺|台[tai2]
縫衣匠	féng yī jiàng	fèng yī jiàng	cc-cedict	tailor
縫衣針	féng yī zhēn	fèng yī zhēn	cc-cedict	sewing needle
總供給	zǒng gōng jǐ	zǒng gōng gěi	cc-cedict	aggregate supply
繁峙縣	fán shì xiàn	fán zhì xiàn	cc-cedict	Fanshi, a county in Xinzhou City 忻州市[Xin1 zhou1 Shi4], Shanxi
繃不住	bēng bu zhù	běng bù zhù	cc-cedict	(Internet slang) can't contain oneself/unable to bear/can't help (doing sth)
繃著臉	běng zhe liǎn	běng zhù liǎn	cc-cedict	to have a taut face/to pull a long face/to look displeased
繚邊兒	liáo biān r	liáo biān ér	cc-cedict	to stitch a hem
繞彎兒	rào wān r	rào wān ér	cc-cedict	to go for a walk around/(fig.) to speak in a roundabout way
繞遠兒	rào yuǎn r	rào yuǎn ér	cc-cedict	to go the long way round/to take a circuitous route/(of a route) circuitous
罄身兒	qìng shēn r	qìng shēn ér	cc-cedict	erhua variant of 罄身[qing4 shen1]
羅圈兒	luó quān r	luó quān ér	cc-cedict	erhua variant of 羅圈|罗圈[luo2 quan1]
羅盛教	luó chéng jiào	luó shèng jiào	cc-cedict	Luo Chengjiao (1931-1952), PRC hero of the volunteer army in Korea
羅鍋兒	luó guō r	luó guō ér	cc-cedict	erhua variant of 羅鍋|罗锅[luo2 guo1]
美容覺	měi róng jiào	měi róng jué	cc-cedict	beauty sleep (before midnight)
美差事	měi chāi shì	měi chà shì	cc-cedict	a terrific job
羞答答	xiū dā dā	xiū dá dá	cc-cedict	bashful
翟志剛	zhái zhì gāng	dí zhì gāng	cc-cedict	Zhai Zhigang (1966-), Chinese astronaut
翟理斯	zhái lǐ sī	dí lǐ sī	cc-cedict	Herbert Allen Giles (1845-1935), British diplomat and linguist, contributor to the Wade-Giles Chinese romanization syste
